World Bank list of economies (July 2014),,,,,,,,,,,
,,,,,,,,,,,
(Bold indicates a change of classification),,, ,,,,,,,,
,,,,,,,,,,,
,,Economy,Code,,Region,Income group,Lending category,Other,,,
116,,"Macedonia, FYR",MKD,,Europe & Central Asia,Upper middle income,IBRD,,,,
117,,Madagascar,MDG,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
118,,Malawi,MWI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
119,,Malaysia,MYS,,East Asia & Pacific,Upper middle income,IBRD,,,,
120,,Maldives,MDV,,South Asia,Upper middle income,IDA,,,,
121,,Mali,MLI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
122,,Malta,MLT,,..,High income: nonOECD,..,EMU,,,
123,,Marshall Islands,MHL,,East Asia & Pacific,Upper middle income,IDA,,,,
124,,Mauritania,MRT,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
125,,Mauritius,MUS,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
126,,Mexico,MEX,,Latin America & Caribbean,Upper middle income,IBRD,,,,
127,,"Micronesia, Fed. Sts.",FSM,,East Asia & Pacific,Lower middle income,IDA,,,,
128,,Moldova,MDA,,Europe & Central Asia,Lower middle income,Blend,,,,
129,,Monaco,MCO,,..,High income: nonOECD,..,,,,
130,,Mongolia,MNG,,East Asia & Pacific,Lower middle income,Blend,,,,
131,,Montenegro,MNE,,Europe & Central Asia,Upper middle income,IBRD,,,,
132,,Morocco,MAR,,Middle East & North Africa,Lower middle income,IBRD,,,,
133,,Mozambique,MOZ,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
134,,Myanmar,MMR,,East Asia & Pacific,Low income,IDA,,,,
135,,Namibia,NAM,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
136,,Nepal,NPL,,South Asia,Low income,IDA,,,,
137,,Netherlands,NLD,,..,High income: OECD,..,EMU,,,
138,,New Caledonia,NCL,,..,High income: nonOECD,..,,,,
139,,New Zealand,NZL,,..,High income: OECD,..,,,,
140,,Nicaragua,NIC,,Latin America & Caribbean,Lower middle income,IDA,HIPC,,,
141,,Niger,NER,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
142,,Nigeria,NGA,,Sub-Saharan Africa,Lower middle income,Blend,,,,
143,,Northern Mariana Islands,MNP,,..,High income: nonOECD,..,,,,
144,,Norway,NOR,,..,High income: OECD,..,,,,
145,,Oman,OMN,,..,High income: nonOECD,..,,,,
146,,Pakistan,PAK,,South Asia,Lower middle income,Blend,,,,
147,,Palau,PLW,,East Asia & Pacific,Upper middle income,IBRD,,,,
148,,Panama,PAN,,Latin America & Caribbean,Upper middle income,IBRD,,,,
149,,Papua New Guinea,PNG,,East Asia & Pacific,Lower middle income,Blend,,,,
150,,Paraguay,PRY,,Latin America & Caribbean,Lower middle income,IBRD,,,,
151,,Peru,PER,,Latin America & Caribbean,Upper middle income,IBRD,,,,
152,,Philippines,PHL,,East Asia & Pacific,Lower middle income,IBRD,,,,
153,,Poland,POL,,..,High income: OECD,IBRD,,,,
154,,Portugal,PRT,,..,High income: OECD,..,EMU,,,
155,,Puerto Rico,PRI,,..,High income: nonOECD,..,,,,
156,,Qatar,QAT,,..,High income: nonOECD,..,,,,
157,,Romania,ROM,,Europe & Central Asia,Upper middle income,IBRD,,,,
158,,Russian Federation,RUS,,..,High income: nonOECD,IBRD,,,,
159,,Rwanda,RWA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
160,,Samoa,WSM,,East Asia & Pacific,Lower middle income,IDA,,,,
161,,San Marino,SMR,,..,High income: nonOECD,..,,,,
162,,São Tomé and Principe,STP,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
163,,Saudi Arabia,SAU,,..,High income: nonOECD,..,,,,
164,,Senegal,SEN,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
165,,Serbia,SRB,,Europe & Central Asia,Upper middle income,IBRD,,,,
166,,Seychelles,SYC,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
167,,Sierra Leone,SLE,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
168,,Singapore,SGP,,..,High income: nonOECD,..,,,,
169,,Sint Maarten (Dutch part),SXM,,..,High income: nonOECD,..,,,,
170,,Slovak Republic,SVK,,..,High income: OECD,..,EMU,,,
171,,Slovenia,SVN,,..,High income: OECD,..,EMU,,,
172,,Solomon Islands,SLB,,East Asia & Pacific,Lower middle income,IDA,,,,
173,,Somalia,SOM,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
174,,South Africa,ZAF,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
175,,South Sudan,SSD,,Sub-Saharan Africa,Lower middle income,IDA,,,,
176,,Spain,ESP,,..,High income: OECD,..,EMU,,,
177,,Sri Lanka,LKA,,South Asia,Lower middle income,Blend,,,,
178,,St. Kitts and Nevis,KNA,,..,High income: nonOECD,IBRD,,,,
179,,St. Lucia,LCA,,Latin America & Caribbean,Upper middle income,Blend,,,,
180,,St. Martin (French part),MAF,,..,High income: nonOECD,..,,,,
181,,St. Vincent and the Grenadines,VCT,,Latin America & Caribbean,Upper middle income,Blend,,,,
182,,Sudan,SDN,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
183,,Suriname,SUR,,Latin America & Caribbean,Upper middle income,IBRD,,,,
184,,Swaziland,SWZ,,Sub-Saharan Africa,Lower middle income,IBRD,,,,
185,,Sweden,SWE,,..,High income: OECD,..,,,,
186,,Switzerland,CHE,,..,High income: OECD,..,,,,
187,,Syrian Arab Republic,SYR,,Middle East & North Africa,Lower middle income,IBRD,,,,
188,,Tajikistan,TJK,,Europe & Central Asia,Low income,IDA,,,,
189,,Tanzania,TZA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
190,,Thailand,THA,,East Asia & Pacific,Upper middle income,IBRD,,,,
191,,Timor-Leste,TMP,,East Asia & Pacific,Lower middle income,Blend,,,,
192,,Togo,TGO,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
193,,Tonga,TON,,East Asia & Pacific,Upper middle income,IDA,,,,
194,,Trinidad and Tobago,TTO,,..,High income: nonOECD,IBRD,,,,
195,,Tunisia,TUN,,Middle East & North Africa,Upper middle income,IBRD,,,,
196,,Turkey,TUR,,Europe & Central Asia,Upper middle income,IBRD,,,,
197,,Turkmenistan,TKM,,Europe & Central Asia,Upper middle income,IBRD,,,,
198,,Turks and Caicos Islands,TCA,,..,High income: nonOECD,..,,,,
199,,Tuvalu,TUV,,East Asia & Pacific,Upper middle income,IDA,,,,
200,,Uganda,UGA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
201,,Ukraine,UKR,,Europe & Central Asia,Lower middle income,IBRD,,,,
202,,United Arab Emirates,ARE,,..,High income: nonOECD,..,,,,
203,,United Kingdom,GBR,,..,High income: OECD,..,,,,
204,,United States,USA,,..,High income: OECD,..,,,,
205,,Uruguay,URY,,..,High income: nonOECD,IBRD,,,,
206,,Uzbekistan,UZB,,Europe & Central Asia,Lower middle income,Blend,,,,
207,,Vanuatu,VUT,,East Asia & Pacific,Lower middle income,IDA,,,,
208,,"Venezuela, RB",VEN,,Latin America & Caribbean,Upper middle income,IBRD,,,,
209,,Vietnam,VNM,,East Asia & Pacific,Lower middle income,Blend,,,,
210,,Virgin Islands (U.S.),VIR,,..,High income: nonOECD,..,,,,
211,,West Bank and Gaza,WBG,,Middle East & North Africa,Lower middle income,..,,,,
212,,"Yemen, Rep.",YEM,,Middle East & North Africa,Lower middle income,IDA,,,,
213,,Zambia,ZMB,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
214,,Zimbabwe,ZWE,,Sub-Saharan Africa,Low income,Blend,,,,
