country,nb_missing,missing_data
Malta,13,"share1, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Somalia,13,"gdp_pc_pp, share1, plgp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv"
Mauritius,13,"faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv"
"Korea, Dem. Rep.",13,"gdp_pc_pp, share1, plgp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv"
Cyprus,13,"share1, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Liechtenstein,14,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv"
Andorra,14,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, share1_ref, v, pv"
Qatar,15,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Singapore,15,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Bahrain,15,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Trinidad and Tobago,15,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Maldives,15,"axfin_p, axfin_r, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv"
West Bank and Gaza,16,"ophe, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv"
Solomon Islands,16,"share1, axfin_p, axfin_r, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Dominica,16,"share1, unemp, axfin_p, axfin_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
"Hong Kong SAR, China",17,"share1, ophe, social_p, social_r, axhealth, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Cabo Verde,17,"axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv, v_s"
Barbados,17,"share1, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
"Bahamas, The",17,"share1, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
St. Kitts and Nevis,18,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
St. Lucia,18,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
St. Vincent and the Grenadines,18,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
"Micronesia, Fed. Sts.",18,"plgp, unemp, axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv"
Antigua and Barbuda,18,"share1, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Vanuatu,19,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
"Macao SAR, China",19,"share1, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Kiribati,19,"share1, unemp, axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Grenada,19,"share1, plgp, unemp, axfin_p, axfin_r, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Palau,20,"share1, plgp, unemp, axfin_p, axfin_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Upper middle income,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
South Asia,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Aruba,21,"share1, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Samoa,21,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Seychelles,21,"unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv"
Sub-Saharan Africa (developing only),21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Puerto Rico,21,"share1, plgp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Tonga,21,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
High income: nonOECD,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Marshall Islands,21,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Europe & Central Asia (developing only),21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Lower middle income,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Low income,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Latin America & Caribbean (developing only),21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Low & middle income,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
East Asia & Pacific (developing only),21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
World,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Middle income,21,"share1, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Sao Tome and Principe,22,"unemp, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv, v_s"
San Marino,22,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Tuvalu,22,"share1, plgp, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Turks and Caicos Islands,22,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Caribbean small states,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Least developed countries: UN classification,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Heavily indebted poor countries (HIPC),23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Latin America & Caribbean (all income levels),23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Fragile and conflict affected situations,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Arab World,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Sub-Saharan Africa (all income levels),23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
High income,23,"share1, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Small states,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
High income: OECD,23,"share1, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Middle East & North Africa (all income levels),23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Middle East & North Africa (developing only),23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Central Europe and the Baltics,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Monaco,23,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Virgin Islands (U.S.),23,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Other small states,23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Euro area,23,"share1, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
East Asia & Pacific (all income levels),23,"share1, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Greenland,24,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Pacific island small states,24,"share1, unemp, axfin_p, axfin_r, social_p, social_r, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Faeroe Islands,24,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Bermuda,24,"share1, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Isle of Man,24,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Cayman Islands,24,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
New Caledonia,24,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, bashs, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Guam,25,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
American Samoa,25,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
Northern Mariana Islands,25,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv"
OECD members,25,"share1, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
European Union,25,"share1, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
Europe & Central Asia (all income levels),25,"share1, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
North America,25,"share1, axfin_p, axfin_r, bashs, social_p, social_r, axhealth, iso3, avg_prod_k, protection, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv, v_s"
