ADMIN,ISO_A3,FPU_ID,LSsum,PY5sum,PY5per,PY10sum,PY10per,PY25sum,PY25per,PY50sum,PY50per,PY100sum,PY100per,PY250sum,PY250per,PY500sum,PY500per,PY1000sum,PY1000per
Argentina,ARG,408,9725294,416822,0.042859578,504374,0.051862083,567987,0.058403067,605774,0.062288503,629260,0.064703442,678868,0.069804368,698920,0.071866208,760393,0.078187148
Argentina,ARG,410,3980503,215723,0.05419491,253522,0.063690946,280581,0.07048883,301466,0.075735655,314246,0.078946304,334029,0.083916279,344935,0.086656134,353211,0.088735268
Argentina,ARG,414,733011,59504,0.081177499,69399,0.094676615,72442,0.098827985,74687,0.101890695,76781,0.104747405,83873,0.114422567,85110,0.116110127,85144,0.116156511
Argentina,ARG,416,101417,4,3.94411E-05,9,8.87425E-05,23,0.000226786,31,0.000305669,31,0.000305669,42,0.000414132,43,0.000423992,43,0.000423992
Argentina,ARG,417,36529,1569,0.042952175,1613,0.044156697,2158,0.05907635,2166,0.059295354,2168,0.059350105,2170,0.059404856,2170,0.059404856,2171,0.059432232
Argentina,ARG,552,921908,5175,0.005613358,5776,0.006265267,6783,0.007357567,8774,0.009517219,11846,0.012849438,22867,0.024803993,23123,0.025081678,34187,0.037082876
Argentina,ARG,561,10108420,686330,0.067896862,852902,0.084375402,1020167,0.100922498,1174035,0.116144264,1314794,0.13006919,1543895,0.152733563,1652925,0.16351962,1838379,0.181866108
Argentina,ARG,573,2272780,116884,0.051427767,185365,0.081558708,206029,0.090650657,211839,0.093206998,220510,0.097022149,242209,0.106569488,260771,0.114736578,265019,0.116605655
Armenia,ARM,158,2956183,48182,0.01629872,88162,0.029822917,107794,0.036463913,107951,0.036517022,112548,0.038072068,124199,0.042013299,142424,0.048178343,142814,0.04831027
Aruba,ABW,293,1.557783959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,368,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,401,3824201,288950,0.075558267,331326,0.086639274,369950,0.096739162,414738,0.108450889,440258,0.115124179,492021,0.128659817,517076,0.135211512,536405,0.140265901
Australia,AUS,406,2207377,39758,0.018011423,46530,0.021079317,58077,0.026310413,68257,0.030922221,71996,0.032616087,77935,0.035306611,82300,0.037284071,89025,0.040330673
Australia,AUS,407,2002119,23971,0.011972815,30397,0.015182414,33545,0.016754748,34092,0.017027959,34709,0.017336132,36782,0.018371535,38403,0.019181178,39213,0.019585749
Australia,AUS,409,10843988,204943,0.018899228,222866,0.020552033,235917,0.021755557,247652,0.022837724,255742,0.023583759,265235,0.024459175,272349,0.025115207,281937,0.025999383
Australia,AUS,411,482495,13739,0.028474906,15389,0.031894631,15492,0.032108105,15501,0.032126758,15799,0.032744381,15807,0.032760961,15911,0.032976508,15913,0.032980653
Australia,AUS,554,31453,0,0,0,0,4,0.000127174,4,0.000127174,616,0.019584777,616,0.019584777,616,0.019584777,616,0.019584777
Australia,AUS,555,20245,254,0.012546308,271,0.013386021,278,0.013731786,283,0.01397876,290,0.014324525,292,0.014423314,294,0.014522104,295,0.014571499
Australia,AUS,556,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,AUS,557,14886,15,0.001007658,21,0.001410721,222,0.014913341,224,0.015047696,224,0.015047696,225,0.015114873,226,0.01518205,274,0.018406556
Australia,AUS,560,647442,45641,0.070494345,65578,0.101287837,73312,0.113233309,74828,0.115574831,79641,0.123008702,82926,0.128082515,84859,0.131068111,88779,0.137122708
Australia,AUS,562,1420863,81906,0.057645248,144137,0.101443278,151444,0.106585927,165766,0.116665717,175663,0.123631202,181491,0.127732934,186711,0.131406758,195949,0.13790844
Australia,AUS,563,148337,9659,0.065115244,11107,0.074876801,14350,0.096739182,15500,0.104491799,18228,0.122882356,21378,0.144117786,21663,0.146039087,22588,0.152274888
Austria,AUT,11,1635377,71872,0.043948276,106681,0.065233276,114522,0.07002789,117603,0.071911859,122160,0.074698372,123573,0.075562393,126664,0.077452477,130699,0.079919798
Austria,AUT,13,6002932,215006,0.035816831,429878,0.071611339,462466,0.07704002,516949,0.086116085,551239,0.091828293,587639,0.097891997,612159,0.101976667,624274,0.103994848
Austria,AUT,15,158527,25445,0.160508935,29406,0.185495215,30086,0.189784705,30443,0.192036688,30460,0.192143925,31020,0.195676446,31020,0.195676446,31669,0.199770386
Austria,AUT,16,7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,123,354476,0,0,0,0,4,1.12843E-05,4,1.12843E-05,4,1.12843E-05,6,1.69264E-05,6,1.69264E-05,6,1.69264E-05
Austria,AUT,167,13343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,AUT,421,71647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,AZE,146,145978,220,0.001507076,383,0.002623683,406,0.002781241,421,0.002883996,421,0.002883996,441,0.003021003,441,0.003021003,475,0.003253915
Azerbaijan,AZE,158,9248913,296470,0.032054578,369617,0.039963291,451823,0.04885147,486417,0.052591802,539307,0.058310312,564109,0.060991924,593399,0.064158783,612637,0.066238811
Azerbaijan,AZE,205,59217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,209,880639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,BHR,253,126330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,51,35902833,4077687,0.113575633,5117985,0.142551007,6688297,0.186288837,7584266,0.211244221,8010179,0.223107157,8624174,0.240208732,8973204,0.249930249,9242786,0.257438905
Bangladesh,BGD,218,3935944,835500,0.212274362,988744,0.251208859,1217957,0.309444697,1350653,0.343158592,1453032,0.369169887,1633984,0.415144118,1735913,0.441041082,1776777,0.451423343
Bangladesh,BGD,255,1018343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,496,21910876,3060307,0.139670682,4678564,0.213527017,6561523,0.299464202,7556860,0.34489082,8443674,0.38536451,9460474,0.431770688,10098680,0.460898049,10647633,0.485951954
Bangladesh,BGD,498,7104162,994950,0.140051705,1157900,0.162988963,1340277,0.188660816,1432114,0.201588027,1565155,0.220315218,1747498,0.245982285,1892617,0.266409606,1993870,0.280662237
Bangladesh,BGD,499,3328572,924704,0.277808021,1052239,0.31612325,1227155,0.368673113,1324922,0.398045168,1403619,0.421688039,1510066,0.453667819,1577409,0.473899618,1638095,0.492131461
Bangladesh,BGD,500,86181233,12056484,0.139896861,14979748,0.173816822,18692641,0.216899206,21446223,0.248850269,24250891,0.281394106,27523673,0.319369682,29613784,0.34362219,32529573,0.377455414
Barbados,BRB,265,245410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baykonur Cosmodrome,-99,467,38086,100,0.002625637,111,0.002914457,461,0.012104185,494,0.012970645,505,0.013259465,1070,0.028094313,1337,0.035104763,1340,0.035183532
Belarus,BLR,8,4566328,92150,0.020180329,115336,0.025257932,122836,0.026900389,128268,0.028089966,133106,0.029149461,136704,0.029937403,142496,0.031205818,147312,0.032260495
Belarus,BLR,12,1159857,39313,0.033894696,58477,0.050417422,75813,0.065364092,80608,0.069498223,84234,0.07262447,87857,0.075748131,92159,0.079457209,96544,0.083237847
Belarus,BLR,99,1571,67,0.042647995,313,0.199236155,324,0.206238065,324,0.206238065,326,0.207511139,326,0.207511139,330,0.210057288,330,0.210057288
Belarus,BLR,101,7530,0,0,0,0,2,0.000265604,2,0.000265604,286,0.037981408,292,0.03877822,292,0.03877822,292,0.03877822
Belarus,BLR,108,3315928,126382,0.038113614,147982,0.044627628,173900,0.052443841,176091,0.053104591,185694,0.056000613,189596,0.057177357,194690,0.058713579,197592,0.059588749
Belarus,BLR,115,596833,7645,0.012809278,13710,0.02297125,23731,0.039761541,25053,0.041976566,25128,0.04210223,25722,0.043097483,44182,0.074027408,45146,0.0756426
Belgium,BEL,114,10327479,768407,0.074404121,891668,0.086339367,989958,0.095856695,1022437,0.099001605,1059592,0.102599289,1144011,0.1107735,1180198,0.114277453,1206172,0.116792491
Belgium,BEL,121,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,BEL,123,165253,0,0,0,0,1728,0.010456694,1728,0.010456694,1728,0.010456694,1728,0.010456694,1728,0.010456694,1728,0.010456694
Belize,BLZ,235,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,BLZ,256,300283,27641,0.092049833,28790,0.095876223,31250,0.104068495,31481,0.10483777,32037,0.106689356,35412,0.117928754,35578,0.118481566,36662,0.122091494
Belize,BLZ,295,1344,199,0.148065476,284,0.211309524,292,0.217261905,295,0.219494048,299,0.222470238,326,0.242559524,373,0.277529762,373,0.277529762
Benin,BEN,298,6416575,172696,0.026914047,216847,0.03379482,265318,0.04134885,300785,0.046876254,327876,0.051098288,377209,0.058786658,390355,0.060835415,420230,0.065491325
Benin,BEN,303,1125341,58421,0.051914042,60354,0.053631744,64048,0.056914304,66351,0.058960795,67586,0.06005824,70960,0.063056442,73944,0.065708083,76176,0.067691482
Benin,BEN,304,682556,4947,0.007247757,5809,0.008510657,6537,0.009577236,7207,0.010558841,7770,0.011383681,8246,0.01208106,9432,0.013818646,9805,0.014365122
Benin,BEN,511,1456087,31195,0.021423857,35240,0.024201851,46934,0.032232964,51514,0.035378381,53535,0.036766347,67381,0.046275394,69445,0.047692892,72010,0.049454463
Bhutan,BTN,496,791166,38626,0.048821613,41908,0.05296992,41908,0.05296992,41908,0.05296992,40318,0.050960228,40381,0.051039858,40381,0.051039858,44275,0.055961707
Bolivia,BOL,384,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,395,3062707,10729,0.00350311,14293,0.004666787,16250,0.005305764,18105,0.005911437,18421,0.006014614,20394,0.006658815,22192,0.007245878,23020,0.007516227
Bolivia,BOL,396,24769,0,0,3,0.000121119,3,0.000121119,3,0.000121119,3,0.000121119,3,0.000121119,3,0.000121119,3,0.000121119
Bolivia,BOL,417,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,533,6488,2661,0.4101418,3634,0.560110974,4370,0.673551171,4409,0.679562269,4524,0.6972873,4528,0.697903822,4533,0.698674476,4539,0.69959926
Bolivia,BOL,534,118,103,0.872881356,103,0.872881356,104,0.881355932,104,0.881355932,104,0.881355932,104,0.881355932,105,0.889830508,107,0.906779661
Bolivia,BOL,542,1819005,92146,0.050657365,108130,0.059444586,111591,0.061347275,113595,0.062448976,115159,0.063308787,116338,0.063956943,117748,0.064732093,118532,0.065163097
Bolivia,BOL,543,23091,276,0.011952709,570,0.024684942,593,0.025681001,644,0.027889654,656,0.028409337,665,0.028799099,692,0.029968386,708,0.030661297
Bolivia,BOL,544,3347447,191280,0.057142055,226521,0.067669779,244758,0.073117812,255726,0.076394339,258269,0.077154022,262151,0.078313712,269767,0.080588879,275866,0.082410864
Bolivia,BOL,545,396941,33968,0.08557443,42552,0.107199811,45736,0.115221154,48586,0.122401062,52810,0.133042442,54614,0.137587198,55797,0.14056749,57201,0.144104539
Bolivia,BOL,572,48750,472,0.009682051,543,0.011138462,605,0.012410256,653,0.013394872,674,0.013825641,747,0.015323077,762,0.015630769,816,0.016738462
Bolivia,BOL,573,1464219,53320,0.036415318,92405,0.063108729,95549,0.065255949,98402,0.067204428,98629,0.067359459,99474,0.067936559,100884,0.068899529,101517,0.069331842
Bosnia and Herzegovina,BIH,15,3904974,335853,0.086006463,448248,0.114788985,514191,0.131675909,527213,0.13501063,534829,0.136960963,551212,0.141156382,560082,0.143427844,565303,0.144764856
Bosnia and Herzegovina,BIH,169,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,33,13589,859,0.063212893,863,0.063507249,902,0.066377217,912,0.067113106,917,0.067481051,920,0.067701818,929,0.068364118,931,0.068511296
Botswana,BWA,36,9810,509,0.051885831,768,0.078287462,1267,0.129153925,1436,0.146381244,1584,0.16146789,1671,0.170336391,1788,0.182262997,1960,0.199796126
Botswana,BWA,38,3760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BWA,41,472370,13933,0.029495946,17272,0.036564557,32835,0.069511188,36317,0.076882529,46046,0.097478671,53903,0.114111819,55892,0.118322501,56519,0.119649851
Botswana,BWA,399,1442024,21609,0.014985187,34399,0.023854665,36757,0.025489867,37017,0.025670169,37172,0.025777657,37652,0.026110522,39988,0.027730468,40447,0.02804877
Botswana,BWA,553,142856,1015,0.007105057,3597,0.025179201,4188,0.029316235,4202,0.029414235,4239,0.029673237,5062,0.035434283,5426,0.037982304,5432,0.038024304
Brazil,BRA,30,2215,28,0.012641084,28,0.012641084,28,0.012641084,28,0.012641084,256,0.115575621,427,0.192776524,427,0.192776524,431,0.194582393
Brazil,BRA,39,16097081,510519,0.031715005,631250,0.039215184,758230,0.047103571,852292,0.052946991,898604,0.055824034,955199,0.059339889,1006191,0.062507668,1091219,0.067789868
Brazil,BRA,319,21412,3569,0.166682234,3579,0.167149262,9722,0.454044461,12193,0.569447039,12197,0.56963385,12203,0.569914067,12210,0.570240986,12220,0.570708014
Brazil,BRA,321,89601,29029,0.323980759,38519,0.429894756,40595,0.45306414,40656,0.453744936,41507,0.463242598,42173,0.47067555,47273,0.527594558,47407,0.529090077
Brazil,BRA,329,98308,19596,0.199332709,22077,0.22456972,25192,0.256255849,26456,0.269113399,28017,0.284992066,38245,0.389032429,39285,0.399611425,40419,0.4111466
Brazil,BRA,343,2722063,185673,0.068210398,244710,0.089898728,313413,0.115138041,320733,0.117827177,324935,0.11937086,353479,0.129857024,378629,0.13909634,439546,0.161475322
Brazil,BRA,365,33913232,2098551,0.061880006,2361659,0.069638276,2631128,0.077584112,2790913,0.082295695,2936702,0.086594578,3166159,0.09336058,3334740,0.09833153,3455173,0.10188274
Brazil,BRA,402,53528456,2261866,0.042255394,2445368,0.045683515,2605478,0.048674634,2689671,0.050247498,2830436,0.052877221,2945717,0.055030861,3034310,0.056685924,3139912,0.058658744
Brazil,BRA,403,12564084,367009,0.029210964,398743,0.031736735,484724,0.03858013,517826,0.041214783,555425,0.044207361,593790,0.047260907,647777,0.051557837,685222,0.054538158
Brazil,BRA,514,614270,53830,0.087632474,56516,0.092005144,59153,0.096298045,60796,0.098972764,62213,0.101279568,73995,0.120460058,75616,0.123098963,76508,0.124551093
Brazil,BRA,517,446257,11608,0.026011917,18284,0.040971906,22447,0.050300612,27073,0.060666835,29647,0.066434812,34173,0.07657695,34631,0.077603264,38065,0.085298382
Brazil,BRA,519,82870,14488,0.174828044,15594,0.188174249,16374,0.197586581,16773,0.202401352,17178,0.207288524,18851,0.227476771,21817,0.263267769,27201,0.328236998
Brazil,BRA,520,1991225,221360,0.111167748,269710,0.135449284,313602,0.157491996,343237,0.172374794,368673,0.185148841,399486,0.200623234,407432,0.204613743,433086,0.217497269
Brazil,BRA,521,543502,29101,0.053543501,26872,0.04944232,31817,0.058540723,35600,0.065501139,38765,0.071324485,43685,0.080376889,53479,0.098397062,54491,0.100259061
Brazil,BRA,522,546827,72003,0.131674186,79658,0.145673129,81648,0.149312305,82533,0.150930733,104177,0.190511807,107094,0.195846218,113652,0.207839042,125408,0.229337615
Brazil,BRA,523,618107,185203,0.299629352,216649,0.350504039,247261,0.400029445,289259,0.467975609,320714,0.518864857,339043,0.548518299,349850,0.566002326,356803,0.577251188
Brazil,BRA,524,593,77,0.129848229,81,0.136593592,84,0.141652614,100,0.168634064,100,0.168634064,106,0.178752108,109,0.18381113,111,0.187183811
Brazil,BRA,525,19442,13456,0.692109865,13748,0.707128896,14269,0.733926551,14480,0.744779344,14614,0.751671639,14692,0.755683572,15131,0.778263553,15209,0.782275486
Brazil,BRA,526,1912789,72348,0.037823304,87368,0.045675712,98373,0.051429091,114235,0.059721694,129266,0.067579853,141664,0.074061488,164728,0.086119274,177459,0.092775
Brazil,BRA,527,119543,8944,0.074818266,9882,0.082664815,11112,0.092954,12062,0.100900931,12376,0.103527601,12893,0.107852405,13031,0.109006801,17419,0.145713258
Brazil,BRA,528,1034966,38903,0.037588674,49683,0.048004476,61265,0.059195181,85623,0.082730254,104250,0.100727947,120046,0.115990284,121236,0.11714008,124629,0.120418449
Brazil,BRA,530,828771,60101,0.072518223,74961,0.090448387,87870,0.106024463,99837,0.120463916,107022,0.129133379,117113,0.14130924,135731,0.163773829,139077,0.167811132
Brazil,BRA,532,216972,43761,0.201689619,53168,0.245045444,60202,0.277464373,62684,0.288903637,73106,0.336937485,81526,0.375744336,85267,0.392986192,111510,0.513937282
Brazil,BRA,533,1724101,81564,0.047308133,107315,0.062244033,131700,0.076387636,152797,0.088624158,186452,0.108144476,212814,0.123434764,228684,0.132639561,238887,0.138557428
Brazil,BRA,534,654096,139522,0.213305081,161574,0.247018786,178949,0.273582165,201653,0.308292667,207938,0.317901348,222911,0.340792483,242286,0.370413517,247185,0.377903244
Brazil,BRA,536,384,14,0.036458333,18,0.046875,20,0.052083333,22,0.057291667,22,0.057291667,23,0.059895833,26,0.067708333,30,0.078125
Brazil,BRA,537,2278882,73898,0.032427304,97692,0.042868389,122737,0.053858427,134496,0.059018413,159174,0.069847408,178905,0.078505601,192471,0.08445852,199815,0.087681152
Brazil,BRA,538,1469633,65342,0.04446144,68961,0.04692396,89233,0.06071788,92426,0.062890531,101357,0.068967559,113528,0.077249218,121264,0.082513117,127645,0.086855018
Brazil,BRA,542,42515,10011,0.235469834,10011,0.235469834,10011,0.235469834,11725,0.275785017,11725,0.275785017,11725,0.275785017,11725,0.275785017,11943,0.280912619
Brazil,BRA,543,57397,2485,0.043294946,2622,0.04568183,2673,0.046570378,4131,0.071972403,4188,0.072965486,4435,0.077268847,9141,0.159259195,13052,0.227398645
Brazil,BRA,545,217037,7789,0.03588789,10507,0.0484111,11341,0.052253763,13169,0.06067629,13520,0.062293526,14175,0.065311445,14406,0.066375779,15458,0.071222879
Brazil,BRA,552,57756980,1895531,0.032819081,1945029,0.033676086,2009699,0.034795777,2058180,0.035635173,2086909,0.036132585,2118224,0.036674771,2247513,0.038913271,2274811,0.039385906
Brazil,BRA,572,123905,137,0.001105686,196,0.001581857,231,0.001864332,237,0.001912756,293,0.002364715,311,0.002509987,313,0.002526129,318,0.002566482
Brazil,BRA,573,2880233,99521,0.034553107,104612,0.036320673,107512,0.037327536,110551,0.038382659,118112,0.041007793,130015,0.045140445,136973,0.047556222,144737,0.050251837
British Virgin Islands,VGB,237,22883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,310,18447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,BRN,320,363442,6663,0.018333049,6781,0.018657723,6903,0.018993402,6987,0.019224526,7086,0.019496921,7120,0.019590471,7136,0.019634495,7248,0.019942659
Bulgaria,BGR,15,8992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,BGR,16,3411064,47108,0.013810354,89593,0.026265412,98590,0.028903005,112493,0.032978859,115067,0.033733463,121167,0.035521761,122546,0.035926034,126292,0.037024225
Bulgaria,BGR,149,3073690,80747,0.026270379,171403,0.05576457,204191,0.066431878,214905,0.069917591,218456,0.07107288,223450,0.072697637,224586,0.073067225,224854,0.073154417
Bulgaria,BGR,169,551028,10232,0.018568929,13591,0.024664808,13725,0.02490799,15685,0.028464978,15756,0.028593828,16278,0.029541149,16699,0.030305175,17825,0.032348628
Burkina Faso,BFA,302,664971,8121,0.012212563,10049,0.015111937,10790,0.016226272,11244,0.016909008,11659,0.017533095,12244,0.018412833,12678,0.019065493,13195,0.019842971
Burkina Faso,BFA,304,12954479,90064,0.006952344,121607,0.009387255,139236,0.010748097,148323,0.011449553,156934,0.012114266,165710,0.012791715,171976,0.013275408,175506,0.013547901
Burkina Faso,BFA,511,3683113,19382,0.005262396,34732,0.009430066,57220,0.015535771,72211,0.019605969,75300,0.020444662,78382,0.021281454,89680,0.024348968,94170,0.025568045
Burundi,BDI,510,6768233,58867,0.008697543,61938,0.009151281,125092,0.018482224,125092,0.018482224,125218,0.018500841,125711,0.018573681,126385,0.018673264,126764,0.018729261
Burundi,BDI,539,3867764,11978,0.00309688,25216,0.006519529,33426,0.008642203,33426,0.008642203,35058,0.009064152,37906,0.009800495,38174,0.009869785,38810,0.010034221
Cambodia,KHM,27,10698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,KHM,28,13211491,1251010,0.094691053,1503186,0.113778679,1865503,0.141203063,2143259,0.162226883,2318020,0.175454837,2620785,0.19837163,2996904,0.22684071,3195391,0.241864525
Cambodia,KHM,279,118959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,KHM,288,1387929,59578,0.042925827,77600,0.055910641,94042,0.067757068,105319,0.075882124,121461,0.087512402,140444,0.101189614,151205,0.108942893,161593,0.116427425
Cambodia,KHM,289,209249,593,0.002833944,871,0.004162505,945,0.004516151,1215,0.005806479,1259,0.006016755,1264,0.00604065,1442,0.006891311,1445,0.006905648
Cameroon,CMR,308,607652,25627,0.04217381,25927,0.042667514,26061,0.042888035,26369,0.043394904,26572,0.043728976,32807,0.053989784,33357,0.054894907,36082,0.059379382
